,year,name,artists,popularity_x,genres,genre
24255,1964,Rockin' Around The Christmas Tree,Brenda Lee,85,"['adult standards', 'brill building pop']",adult standards
12073,1963,It's the Most Wonderful Time of the Year,Andy Williams,83,"['adult standards', 'brill building pop', 'easy listening', 'mellow gold']",adult standards
27878,1969,Here Comes The Sun - Remastered 2009,The Beatles,82,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",british invasion
35205,1969,Fortunate Son,Creedence Clearwater Revival,81,"['album rock', 'classic rock', 'country rock', 'rock', 'roots rock', 'southern rock', 'swamp rock']",rock
27704,1963,Sleigh Ride,The Ronettes,80,"['brill building pop', 'classic girl group', 'motown', 'rock-and-roll', 'soul']",Eclectic
29568,1965,My Girl,The Temptations,79,"['brill building pop', 'classic soul', 'funk', 'memphis soul', 'motown', 'soul']",Eclectic
27879,1969,Come Together - Remastered 2009,The Beatles,79,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",british invasion
33171,1967,Brown Eyed Girl,Van Morrison,79,"['classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']",Eclectic
31765,1966,California Dreamin' - Single Version,The Mamas & The Papas,79,"['brill building pop', 'bubblegum pop', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'sunshine pop']",pop
19514,1961,Can't Help Falling in Love,Elvis Presley,78,"['rock-and-roll', 'rockabilly']",rock-and-roll
