,year,name,artists,popularity_x,genres,genre
66193,1994,All I Want for Christmas Is You,Mariah Carey,88,"['dance pop', 'pop', 'r&b', 'urban contemporary']",pop
76264,2000,In the End,Linkin Park,84,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",metal
76192,2000,Yellow,Coldplay,84,"['permanent wave', 'pop']",Eclectic
68670,1993,Creep,Radiohead,82,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']",rock
59191,1991,Losing My Religion,R.E.M.,82,"['alternative rock', 'classic rock', 'permanent wave', 'pop rock', 'rock']",rock
68859,1994,Zombie,The Cranberries,81,"['irish rock', 'pop rock']",rock
64482,1999,Californication,Red Hot Chili Peppers,81,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']",funk
64475,1991,Under the Bridge,Red Hot Chili Peppers,81,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']",funk
75378,2000,The Real Slim Shady,Eminem,80,"['detroit hip hop', 'hip hop', 'rap']",hip hop
70957,2000,Ms. Jackson,OutKast,80,"['atl hip hop', 'dirty south rap', 'hip hop', 'rap', 'southern hip hop']",hip hop
