,year,name,artists,popularity_x,genres,genre
51508,1983,Every Breath You Take,The Police,84,"['album rock', 'art rock', 'classic rock', 'dance rock', 'mellow gold', 'new wave', 'permanent wave', 'rock', 'soft rock']",rock
60659,1985,Take on Me,a-ha,84,"['album rock', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",rock
48912,1990,Thunderstruck,AC/DC,83,"['album rock', 'australian rock', 'hard rock', 'rock']",rock
51562,1982,Africa,TOTO,83,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",rock
59654,1986,Livin' On A Prayer,Bon Jovi,83,"['glam metal', 'rock']",Eclectic
43452,1982,Billie Jean,Michael Jackson,83,"['pop', 'r&b', 'soul']",Eclectic
58391,1985,Everybody Wants To Rule The World,Tears For Fears,82,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'rock', 'soft rock', 'sophisti-pop', 'synthpop']",new
58712,1984,Summer Of '69,Bryan Adams,82,"['album rock', 'canadian pop', 'canadian singer-songwriter', 'classic canadian rock', 'heartland rock', 'mellow gold', 'pop rock', 'rock', 'soft rock']",canadian
60759,1987,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,82,"['dance pop', 'pop', 'urban contemporary']",pop
51769,1981,Don't Stop Believin',Journey,81,"['album rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']",rock
