,year,name,artists,popularity_x,genres,genre
2858,1945,It's Beginning To Look Like Christmas,Bing Crosby,71,"['adult standards', 'easy listening']",easy listening
8124,1947,Here Comes Santa Claus (Right Down Santa Claus Lane) - 1947 Version,Gene Autry,70,"['adult standards', 'cowboy western', 'oklahoma country', 'traditional country', 'yodeling']",adult standards
8955,1944,Have Yourself A Merry Little Christmas,Judy Garland,70,"['adult standards', 'hollywood', 'lounge', 'torch song', 'vocal jazz']",adult standards
2859,1945,I'll Be Home For Christmas,Bing Crosby,66,"['adult standards', 'easy listening']",easy listening
2860,1945,God Rest Ye Merry Gentlemen,Bing Crosby,64,"['adult standards', 'easy listening']",easy listening
8125,1947,Rudolph the Red-Nosed Reindeer,Gene Autry,61,"['adult standards', 'cowboy western', 'oklahoma country', 'traditional country', 'yodeling']",adult standards
9187,1944,Saturday Night (Is The Loneliest Night In The Week),Frank Sinatra,57,"['adult standards', 'easy listening', 'lounge']",easy listening
9186,1944,Nancy (With the Laughing Face) - 78rpm Version,Frank Sinatra,57,"['adult standards', 'easy listening', 'lounge']",easy listening
9169,1943,Someone to Watch Over Me,Frank Sinatra,57,"['adult standards', 'easy listening', 'lounge']",easy listening
3070,1950,Someone To Watch Over Me,Ella Fitzgerald,56,"['adult standards', 'jazz blues', 'swing', 'vocal jazz']",adult standards
