,valence,year,acousticness,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,artists,collaborators
140546,0.7759999999999999,2019,0.33399999999999996,0.934,236190,0.614,1,3dY8y3uZXX0UpDDal2dLhO,7.699999999999999e-06,1,0.0854,-8.687000000000001,1,"Nails, Hair, Hips, Heels",67,2019-05-23,0.13,126.01700000000001,['Todrick Hall'],1
16231,0.586,2003,0.17600000000000002,0.618,242773,0.552,0,6BIcjFZIVDZxNAcofRFPx4,0.0,8,0.252,-6.8629999999999995,1,So Gone,67,2003,0.0981,81.975,['Monica'],1
37954,0.634,2017,0.5539999999999999,0.639,169320,0.295,1,6efkcs2aUBMFKxl0cl2JWQ,3.09e-05,0,0.3,-11.237,0,Wild Irish Roses,67,2017-03-14,0.544,86.947,['Smino'],1
16238,0.8909999999999999,2003,0.15,0.866,250747,0.7490000000000001,1,0l3GEbH3CviUytD6iX4wzg,0.0,2,0.0614,-3.977,1,Right Thurr,67,2003-01-01,0.253,92.074,['Chingy'],1
140733,0.654,2020,0.312,0.4270000000000001,70044,0.473,1,5UpXJ75CXod4PCoBQP6MAP,0.369,1,0.527,-11.104000000000001,1,Intro,67,2020-10-02,0.15,80.972,"['21 Savage', 'Metro Boomin']",2
37949,0.0875,2017,0.255,0.415,200133,0.313,0,3tZs3nVjySLbL320lP4mvs,1.4000000000000001e-05,1,0.11699999999999999,-12.945,0,Focus,67,2017-10-20,0.0561,84.95299999999997,['H.E.R.'],1
16438,0.647,2004,8.05e-05,0.509,197160,0.987,0,7HGTkn2aX7MNdKs7nV2xBt,0.0009279999999999999,10,0.11900000000000001,-3.198,0,Somebody Told Me,67,2004-06-15,0.0886,138.039,['The Killers'],1
16266,0.6559999999999999,2003,0.0322,0.6629999999999999,289533,0.546,0,3arKRnq9OUd7yq6LRwVW8I,0.000572,5,0.107,-5.234,1,Soul to Squeeze,67,2003-11-18,0.0269,88.171,['Red Hot Chili Peppers'],1
16352,0.19699999999999998,2003,0.628,0.49,327653,0.51,0,6Z31l856yEwyJqSBe3qLZ4,0.0,0,0.9670000000000001,-9.141,1,Sumérgeme,67,2003-05-07,0.0368,90.307,['Jesús Adrián Romero'],1
140574,0.23600000000000002,2019,0.0158,0.401,181408,0.503,0,0yc37FvbXRwwFaQxzpxbsd,0.0,2,0.134,-8.084,1,Somebody To Love,67,2019-09-04,0.0437,118.491,['OneRepublic'],1
56818,0.203,2018,0.00114,0.541,198600,0.616,0,0i5QVxsK3IvEDbUjTA64Li,1.09e-06,0,0.151,-6.53,1,Silver Lining,67,2018-03-02,0.027999999999999997,144.218,['Mt. Joy'],1
140614,0.21600000000000005,2019,0.993,0.46299999999999997,201858,0.0249,0,4SNS6KMBDrfK676bO1hQj9,0.9279999999999999,8,0.127,-24.519000000000002,1,Forrest Gump - Main Title (Feather Theme),67,2019-04-06,0.0394,144.599,['Jordan Barns'],1
16435,0.418,2004,0.4920000000000001,0.41600000000000004,300333,0.546,0,7B1QliUMZv7gSTUGAfMRRD,0.0,7,0.0845,-7.728,1,Live Like You Were Dying,67,2004-08-17,0.0297,159.929,['Tim McGraw'],1
16436,0.662,2004,0.19,0.888,266067,0.632,1,2NBQmPrOEEjA8VbeWOQGxO,0.0,1,0.10099999999999999,-3.872,1,Drop It Like It's Hot,67,2004-01-01,0.21899999999999997,91.979,"['Snoop Dogg', 'Pharrell Williams']",2
37957,0.27,2017,0.478,0.75,240460,0.596,1,2xyBvir9n474qfsOkxXMgx,0.0,0,0.166,-5.569,0,Flex,67,2017-04-14,0.282,130.10399999999998,"['Playboi Carti', 'Leven Kali']",2
37959,0.7190000000000001,2017,0.193,0.47100000000000003,216093,0.897,0,53yTYusPQJ1AApL1hi0Dnc,0.0,9,0.196,-2.27,1,"Sunrise, Sunburn, Sunset",67,2017-12-08,0.0597,159.958,['Luke Bryan'],1
140517,0.657,2019,0.11800000000000001,0.7559999999999999,166146,0.648,1,2ZDpSQfBdgkooeXw6oj3Uz,0.0,0,0.515,-5.287000000000001,1,100 Degrees,67,2019-07-26,0.0731,80.979,['Rich Brian'],1
