,year,name,artists,popularity_x,genres,genre
76197,2002,The Scientist,Coldplay,84,"['permanent wave', 'pop']",Eclectic
59048,2006,Last Christmas - Remastered,Wham!,83,"['dance pop', 'dance rock', 'disco', 'europop', 'new romantic', 'new wave', 'new wave pop', 'soft rock']",dance
78567,2008,I'm Yours,Jason Mraz,83,"['acoustic pop', 'neo mellow', 'pop', 'pop rock']",pop
75384,2002,Without Me,Eminem,83,"['detroit hip hop', 'hip hop', 'rap']",hip hop
76277,2003,Numb,Linkin Park,82,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",metal
76201,2005,Fix You,Coldplay,82,"['permanent wave', 'pop']",Eclectic
81191,2005,How to Save a Life,The Fray,81,"['modern rock', 'neo mellow', 'piano rock', 'pop', 'pop rock']",rock
80262,2007,Stronger,Kanye West,81,"['chicago rap', 'rap']",rap
76906,2005,Feel Good Inc.,Gorillaz,81,['alternative hip hop'],hip hop
77295,2007,No One,Alicia Keys,80,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",pop
