,year,name,artists,popularity_x,genres,genre
7057,1939,"It's Been a Long, Long Time",Harry James,60,"['adult standards', 'big band', 'jazz trumpet', 'lounge', 'stride', 'swing', 'vocal jazz']",adult standards
5839,1939,Moonlight Serenade,Glenn Miller,54,"['adult standards', 'big band', 'easy listening', 'jazz trombone', 'lounge', 'swing', 'vocal jazz']",adult standards
6509,1937,Cross Road Blues,Robert Johnson,54,"['acoustic blues', 'blues', 'blues rock', 'delta blues', 'traditional blues']",blues
5218,1933,Tea for Two,Art Tatum,53,"['bebop', 'big band', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz piano', 'stride', 'swing', 'vintage jazz']",Eclectic
5848,1939,In the Mood - Live,Glenn Miller,52,"['adult standards', 'big band', 'easy listening', 'jazz trombone', 'lounge', 'swing', 'vocal jazz']",Eclectic
5241,1933,Summertime,Billie Holiday,52,"['adult standards', 'harlem renaissance', 'jazz blues', 'lounge', 'soul', 'torch song', 'vocal jazz']",harlem renaissance
5920,1939,Where Did You Sleep Last Night,Lead Belly,52,"['acoustic blues', 'appalachian folk', 'blues', 'country blues', 'delta blues', 'folk', 'texas blues', 'traditional blues', 'traditional folk']",Eclectic
5840,1939,In the Mood,Glenn Miller,51,"['adult standards', 'big band', 'easy listening', 'jazz trombone', 'lounge', 'swing', 'vocal jazz']",Eclectic
4925,1935,Cheek to Cheek,Fred Astaire,49,"['adult standards', 'big band', 'lounge', 'swing', 'vintage hollywood', 'vocal jazz']",adult standards
5242,1933,The Man I Love,Billie Holiday,47,"['adult standards', 'harlem renaissance', 'jazz blues', 'lounge', 'soul', 'torch song', 'vocal jazz']",harlem renaissance
